code_psytoolkit1                                              raven_theta
eds.2020-11-25-1035.data.28449692-725d-41e5-a46c-1016a305f2ca -2.98717179
eds.2020-11-25-1137.data.7428a20d-3b4d-4c91-8224-84b149230df8  1.34120064
eds.2020-11-25-1607.data.2125d106-4c7c-43a4-9a3f-ff1f6b3544a8  0.41954678
eds.2020-11-25-1911.data.11bffba6-6f04-48c4-8d69-e45735d6d35c -0.22524127
eds.2020-11-26-1234.data.647faba3-55fe-4f4c-ad9f-c0c6b563a195  1.26759389
eds.2020-11-26-2301.data.816a06c6-758c-45c1-b255-88844ce96106  0.40201337
eds.2020-11-27-2313.data.11d3fda1-ca87-4843-8f81-9eed6f97d8f2  0.76846114
eds.2020-11-28-1254.data.f9163c57-6444-4b02-b1ae-34b7550462fa -0.61899736
eds.2020-11-28-1545.data.2277d478-4f8a-4336-9ade-9139f0905017 -1.18432222
eds.2020-12-01-1902.data.5261e52a-2369-4c87-92f5-bbbbc7e4db08 -0.32442231
eds.2020-12-01-1913.data.ff5bc6e0-6228-4351-841d-0a9f793b3e2b  0.13115513
eds.2020-12-01-2129.data.e8570b4e-9ba2-4e29-b642-f060b7254a5d  0.81152974
eds.2020-12-01-2240.data.a488181d-652c-4f54-a821-c2fd52a317e8  0.25784648
eds.2020-12-01-2304.data.9a86fa3f-8ce6-4324-a607-a15e1a7a5b2f -0.53335922
eds.2020-12-02-0014.data.164a9551-24fd-4c08-988d-42d12b8ed1ee  1.10425524
eds.2020-12-02-1109.data.fa683882-6cf4-4394-921e-6be814df2643 -0.02699861
eds.2020-12-02-1327.data.ecb86dd4-e658-43f9-8c48-d2b1dcd8244a  0.19516047
eds.2020-12-02-1530.data.5052c8ff-77fd-4636-97f0-92fe7c87907b  0.02302257
eds.2020-12-02-1545.data.61716ad9-aba7-436a-bb39-1c50f7a931b6  0.56645452
eds.2020-12-02-1650.data.3043af8c-fb81-4d0c-8e67-0884ae708f1d -0.01826963
eds.2020-12-02-1655.data.c8ad1798-8e3f-4632-9ec6-916b986d7ea3  1.02394371
eds.2020-12-02-1659.data.6b6bfb81-f887-4326-a622-a2fee7de0816  1.20391689
eds.2020-12-02-1733.data.97c3b81c-3c49-4e88-ba0f-a2652e0f4cb1 -1.48335650
eds.2020-12-02-1737.data.c6f578be-d2ad-402c-b4b3-219889883999  0.22008968
eds.2020-12-02-1802.data.a39b7765-cb17-4a39-8dd8-91f2ba25ad13 -0.94163648
eds.2020-12-02-2054.data.37c11bd5-c344-469f-9c8e-edc00a2e661c -0.02311631
eds.2020-12-02-2230.data.c6ddabc6-d952-4368-94d4-a0894678c6a7  1.09768773
eds.2020-12-03-1019.data.6dd4d772-7445-4dc2-9b54-60e35e16c814  1.03021370
eds.2020-12-03-1019.data.e5891b27-dd54-4bcf-bf94-eef058deac97  0.04789318
eds.2020-12-03-1132.data.9be336b8-bc81-42bc-981a-233e7345d96d  1.13272949
eds.2020-12-03-1224.data.db133460-e301-4890-ae1d-2a7c6707f993  0.61512703
eds.2020-12-03-1254.data.56d30248-9d3b-4381-9c31-2297ac35f34b -0.39059636
eds.2020-12-03-1442.data.6a7ea5f3-cc80-4b83-99b4-f34d390d2147 -0.45432579
eds.2020-12-03-1516.data.43915cd3-10f7-47f3-8fa6-0b0850d3a004  2.32867737
eds.2020-12-03-1557.data.95c9a1af-010c-4670-9db3-f4f00e467392 -1.26417394
eds.2020-12-03-1802.data.a33f348d-f6c5-4c1f-adaa-c756f2ea9db0 -0.58725051
eds.2020-12-03-2021.data.c65600cf-ba14-445b-ac63-04ecbd859f59  0.18011296
eds.2020-12-04-1457.data.7b3f250a-a261-43bb-8f7f-14067b4b4abb  0.10207309
eds.2020-12-04-1525.data.db8a9783-ddcd-4bf7-bdb1-24b8dcf69d5e -0.66992742
eds.2020-12-04-2005.data.0443f041-7923-4232-9ffd-f3773ea722dc  0.35717623
eds.2020-12-04-2027.data.0f728eed-fe9b-4623-a58d-998d05299157 -1.21792018
eds.2020-12-05-1736.data.ca156cb6-613c-47aa-9a4b-5ae80132d715  1.46569181
eds.2020-12-05-1920.data.49a3b152-eb05-41ed-b7b9-22e707a360e5 -0.32417887
eds.2020-12-07-0957.data.03d804b5-1b85-469f-bd55-1e05c217c0b4  0.29652667
eds.2020-12-07-1059.data.f30228b2-ee03-44c5-95e4-e4b57da25118 -1.90481202
eds.2020-12-08-1019.data.cfc974ce-b4b2-4a6a-96c1-5951ac4114ea -0.70734591
eds.2020-12-10-0850.data.36c91d51-24c7-4727-bc3f-10fdecc317a3  0.53121721
eds.2020-12-10-1417.data.e486882a-062f-4e60-b73e-1b175f3b129d -0.35366114
eds.2020-12-10-1556.data.ca319769-d37a-4ce2-bd24-0e6ea3130d1d -0.15669451
eds.2020-12-11-1214.data.2dadf8d9-8d9a-4257-af67-68428d9a1a8a -0.65738874
eds.2020-12-11-1222.data.4547cacc-35fc-4fb2-a4b3-9194a5678b68 -0.70672166
eds.2020-12-12-1404.data.25364684-9664-44d7-a0b0-2635cb49585d  1.07710640
eds.2020-12-16-2144.data.50ba593a-7c9b-408d-83e4-89fb7f1b34a5  1.88644545
eds.2020-12-17-1959.data.b3539e67-4f8f-4ec7-86fb-ba53ef9989cd  0.09100191
eds.2020-12-18-1903.data.6fe149e0-04d3-4d4c-afcb-4912fb5a14e2 -1.06868972
eds.2020-12-18-2340.data.ff36a21d-f316-47f8-8b00-173162495dfb -0.87011871
eds.2020-12-19-1511.data.7d4cdbba-2fe1-400c-990b-569b27e01f74  0.58889997
eds.2021-01-05-1950.data.e703d45c-1955-4ee4-87e6-8605f9a35962 -0.02826435
eds.2021-01-07-1713.data.1d360216-1065-4186-b8d2-448588f6d6e2  0.54204333
eds.2021-01-07-1748.data.384b032c-90c8-472c-83ec-42f3de21c9d1 -0.57836190
eds.2021-01-07-2225.data.c510b55c-d856-4318-a2eb-9d11aca61f4b -0.76757276
eds.2021-01-08-1525.data.d9daab68-0a2c-4386-971f-51b064a81956 -0.59583687
eds.2021-01-09-1146.data.5c85e969-c095-490d-a60f-fb344cdd8be3 -2.00054727
